"COUNTY","SHORTPOSTCODE","TOWN","DISTRICT","YEAR","AVGPRICE"
"NORTH YORKSHIRE","DL8","LEYBURN","NORTH YORKSHIRE",2021,345000
"NORTH YORKSHIRE","DL8","LEYBURN","NORTH YORKSHIRE",2022,395000
"NORTH YORKSHIRE","DL8","LEYBURN","RICHMONDSHIRE",2019,307354.544217687
"NORTH YORKSHIRE","DL8","LEYBURN","RICHMONDSHIRE",2020,314651.859550562
"NORTH YORKSHIRE","DL8","LEYBURN","RICHMONDSHIRE",2021,325903.812765957
"NORTH YORKSHIRE","DL8","LEYBURN","RICHMONDSHIRE",2022,385364.02739726
"NORTH YORKSHIRE","DL9","CATTERICK GARRISON","HARROGATE",2022,6e+05
"NORTH YORKSHIRE","DL9","CATTERICK GARRISON","NORTH YORKSHIRE",2022,158625
"NORTH YORKSHIRE","DL9","CATTERICK GARRISON","RICHMONDSHIRE",2019,157406.5625
"NORTH YORKSHIRE","DL9","CATTERICK GARRISON","RICHMONDSHIRE",2020,160151.681818182
"NORTH YORKSHIRE","DL9","CATTERICK GARRISON","RICHMONDSHIRE",2021,218389.778481013
"NORTH YORKSHIRE","DL9","CATTERICK GARRISON","RICHMONDSHIRE",2022,324855.550387597
"NORTH YORKSHIRE","DN14","GOOLE","CRAVEN",2021,229240
"NORTH YORKSHIRE","DN14","GOOLE","HARROGATE",2021,170000
"NORTH YORKSHIRE","DN14","GOOLE","NORTH YORKSHIRE",2021,322658.2
"NORTH YORKSHIRE","DN14","GOOLE","NORTH YORKSHIRE",2022,268415.833333333
"NORTH YORKSHIRE","DN14","GOOLE","SELBY",2019,240010.265560166
"NORTH YORKSHIRE","DN14","GOOLE","SELBY",2020,370193.898648649
"NORTH YORKSHIRE","DN14","GOOLE","SELBY",2021,241433.077235772
"NORTH YORKSHIRE","DN14","GOOLE","SELBY",2022,267938.134020619
"NORTH YORKSHIRE","DN6","DONCASTER","SELBY",2019,269500
"NORTH YORKSHIRE","DN6","DONCASTER","SELBY",2020,527857.142857143
"NORTH YORKSHIRE","DN6","DONCASTER","SELBY",2021,488409.090909091
"NORTH YORKSHIRE","DN6","DONCASTER","SELBY",2022,476250
"NORTH YORKSHIRE","HG1","HARROGATE","HARROGATE",2019,328649.489501312
"NORTH YORKSHIRE","HG1","HARROGATE","HARROGATE",2020,311161.561832061
"NORTH YORKSHIRE","HG1","HARROGATE","HARROGATE",2021,314178.463963964
"NORTH YORKSHIRE","HG1","HARROGATE","HARROGATE",2022,377023.518518519
"NORTH YORKSHIRE","HG1","HARROGATE","NORTH YORKSHIRE",2020,146750
"NORTH YORKSHIRE","HG1","HARROGATE","NORTH YORKSHIRE",2021,393314
"NORTH YORKSHIRE","HG1","HARROGATE","NORTH YORKSHIRE",2022,352048.523809524
"NORTH YORKSHIRE","HG2","HARROGATE","HARROGATE",2019,404436.597087379
"NORTH YORKSHIRE","HG2","HARROGATE","HARROGATE",2020,447499.842519685
"NORTH YORKSHIRE","HG2","HARROGATE","HARROGATE",2021,420709.483503982
"NORTH YORKSHIRE","HG2","HARROGATE","HARROGATE",2022,444854.434482759
"NORTH YORKSHIRE","HG2","HARROGATE","NORTH YORKSHIRE",2021,412890
"NORTH YORKSHIRE","HG2","HARROGATE","NORTH YORKSHIRE",2022,415456.363636364
"NORTH YORKSHIRE","HG2","HARROGATE","SELBY",2020,544995
"NORTH YORKSHIRE","HG3","HARROGATE","CRAVEN",2019,349250
"NORTH YORKSHIRE","HG3","HARROGATE","CRAVEN",2020,6e+05
"NORTH YORKSHIRE","HG3","HARROGATE","HAMBLETON",2020,637495
"NORTH YORKSHIRE","HG3","HARROGATE","HARROGATE",2019,421277.102739726
"NORTH YORKSHIRE","HG3","HARROGATE","HARROGATE",2020,447808.746575342
"NORTH YORKSHIRE","HG3","HARROGATE","HARROGATE",2021,464783.811648079
"NORTH YORKSHIRE","HG3","HARROGATE","HARROGATE",2022,502631.824228028
"NORTH YORKSHIRE","HG3","HARROGATE","NORTH YORKSHIRE",2019,2168160
"NORTH YORKSHIRE","HG3","HARROGATE","NORTH YORKSHIRE",2020,852250
"NORTH YORKSHIRE","HG3","HARROGATE","NORTH YORKSHIRE",2021,584424.277777778
"NORTH YORKSHIRE","HG3","HARROGATE","NORTH YORKSHIRE",2022,457818.057692308
"NORTH YORKSHIRE","HG3","HARROGATE","RYEDALE",2021,3e+05
"NORTH YORKSHIRE","HG4","RIPON","HAMBLETON",2019,417432.777777778
"NORTH YORKSHIRE","HG4","RIPON","HAMBLETON",2020,265228.461538462
"NORTH YORKSHIRE","HG4","RIPON","HAMBLETON",2021,312377.8
"NORTH YORKSHIRE","HG4","RIPON","HAMBLETON",2022,278074.166666667
"NORTH YORKSHIRE","HG4","RIPON","HARROGATE",2019,336045.401376147
"NORTH YORKSHIRE","HG4","RIPON","HARROGATE",2020,315605.314285714
"NORTH YORKSHIRE","HG4","RIPON","HARROGATE",2021,354159.742496051
"NORTH YORKSHIRE","HG4","RIPON","HARROGATE",2022,351188.646153846
"NORTH YORKSHIRE","HG4","RIPON","NORTH YORKSHIRE",2019,195000
"NORTH YORKSHIRE","HG4","RIPON","NORTH YORKSHIRE",2020,80000
"NORTH YORKSHIRE","HG4","RIPON","NORTH YORKSHIRE",2021,264595.4
"NORTH YORKSHIRE","HG4","RIPON","NORTH YORKSHIRE",2022,452814.130434783
"NORTH YORKSHIRE","HG4","RIPON","RICHMONDSHIRE",2019,261499.8
"NORTH YORKSHIRE","HG4","RIPON","RICHMONDSHIRE",2020,511000
"NORTH YORKSHIRE","HG4","RIPON","RICHMONDSHIRE",2021,933696.5
"NORTH YORKSHIRE","HG4","RIPON","RICHMONDSHIRE",2022,1255920
"NORTH YORKSHIRE","HG5","HARROGATE","HARROGATE",2019,90000
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","HARROGATE",2019,450519.810526316
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","HARROGATE",2020,343707
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","HARROGATE",2021,423087.937142857
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","HARROGATE",2022,528984.498381877
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","NORTH YORKSHIRE",2019,550000
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","NORTH YORKSHIRE",2020,320000
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","NORTH YORKSHIRE",2021,834696.666666667
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","NORTH YORKSHIRE",2022,356852.5
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","SELBY",2020,481950
"NORTH YORKSHIRE","HG5","KNARESBOROUGH","SELBY",2022,380000
"NORTH YORKSHIRE","LA10","SEDBERGH","NORTH YORKSHIRE",2021,12000
"NORTH YORKSHIRE","LA10","SEDBERGH","RICHMONDSHIRE",2019,442000
"NORTH YORKSHIRE","LA10","SEDBERGH","RICHMONDSHIRE",2020,129600
"NORTH YORKSHIRE","LA10","SEDBERGH","RICHMONDSHIRE",2021,255000
"NORTH YORKSHIRE","LA10","SEDBERGH","RICHMONDSHIRE",2022,260000
"NORTH YORKSHIRE","LA2","LANCASTER","CRAVEN",2019,269948.453608247
"NORTH YORKSHIRE","LA2","LANCASTER","CRAVEN",2020,326853.608695652
"NORTH YORKSHIRE","LA2","LANCASTER","CRAVEN",2021,264960.015625
"NORTH YORKSHIRE","LA2","LANCASTER","CRAVEN",2022,307571.2625
"NORTH YORKSHIRE","LA2","LANCASTER","NORTH YORKSHIRE",2020,75000
"NORTH YORKSHIRE","LA2","LANCASTER","NORTH YORKSHIRE",2021,220627
"NORTH YORKSHIRE","LA2","LANCASTER","NORTH YORKSHIRE",2022,254983.333333333
"NORTH YORKSHIRE","LA6","CARNFORTH","CRAVEN",2019,251578.846153846
"NORTH YORKSHIRE","LA6","CARNFORTH","CRAVEN",2020,267339.423076923
"NORTH YORKSHIRE","LA6","CARNFORTH","CRAVEN",2021,289368.983050847
"NORTH YORKSHIRE","LA6","CARNFORTH","CRAVEN",2022,277013.852459016
"NORTH YORKSHIRE","LA6","CARNFORTH","NORTH YORKSHIRE",2019,120000
"NORTH YORKSHIRE","LA6","CARNFORTH","NORTH YORKSHIRE",2021,1067750
"NORTH YORKSHIRE","LA6","CARNFORTH","NORTH YORKSHIRE",2022,305000
"NORTH YORKSHIRE","LS17","LEEDS","HARROGATE",2019,458235.185185185
"NORTH YORKSHIRE","LS17","LEEDS","HARROGATE",2020,446928.571428571
"NORTH YORKSHIRE","LS17","LEEDS","HARROGATE",2021,613321.428571429
"NORTH YORKSHIRE","LS17","LEEDS","HARROGATE",2022,887550
"NORTH YORKSHIRE","LS17","LEEDS","NORTH YORKSHIRE",2022,2800000
"NORTH YORKSHIRE","LS17","LEEDS","SELBY",2019,452500
"NORTH YORKSHIRE","LS17","LEEDS","SELBY",2020,480000
"NORTH YORKSHIRE","LS21","OTLEY","HARROGATE",2019,510821.428571429
"NORTH YORKSHIRE","LS21","OTLEY","HARROGATE",2020,654205.882352941
"NORTH YORKSHIRE","LS21","OTLEY","HARROGATE",2021,678208
"NORTH YORKSHIRE","LS21","OTLEY","HARROGATE",2022,807025
"NORTH YORKSHIRE","LS21","OTLEY","NORTH YORKSHIRE",2021,583000
"NORTH YORKSHIRE","LS22","WETHERBY","HARROGATE",2019,424494.857142857
"NORTH YORKSHIRE","LS22","WETHERBY","HARROGATE",2020,445377.272727273
"NORTH YORKSHIRE","LS22","WETHERBY","HARROGATE",2021,640728.072727273
"NORTH YORKSHIRE","LS22","WETHERBY","HARROGATE",2022,654350
"NORTH YORKSHIRE","LS22","WETHERBY","NORTH YORKSHIRE",2019,340000
"NORTH YORKSHIRE","LS22","WETHERBY","NORTH YORKSHIRE",2020,270000
"NORTH YORKSHIRE","LS22","WETHERBY","NORTH YORKSHIRE",2021,470000
"NORTH YORKSHIRE","LS22","WETHERBY","NORTH YORKSHIRE",2022,450000
"NORTH YORKSHIRE","LS24","TADCASTER","HARROGATE",2019,538500
"NORTH YORKSHIRE","LS24","TADCASTER","HARROGATE",2020,509500
"NORTH YORKSHIRE","LS24","TADCASTER","HARROGATE",2021,555500
"NORTH YORKSHIRE","LS24","TADCASTER","HARROGATE",2022,661250
"NORTH YORKSHIRE","LS24","TADCASTER","NORTH YORKSHIRE",2019,139000
"NORTH YORKSHIRE","LS24","TADCASTER","NORTH YORKSHIRE",2021,205000
"NORTH YORKSHIRE","LS24","TADCASTER","NORTH YORKSHIRE",2022,342400
"NORTH YORKSHIRE","LS24","TADCASTER","SELBY",2019,287505.504201681
"NORTH YORKSHIRE","LS24","TADCASTER","SELBY",2020,337444.142857143
"NORTH YORKSHIRE","LS24","TADCASTER","SELBY",2021,322985.279279279
"NORTH YORKSHIRE","LS24","TADCASTER","SELBY",2022,314385.714285714
"NORTH YORKSHIRE","LS25","LEEDS","HARROGATE",2020,197005
"NORTH YORKSHIRE","LS25","LEEDS","NORTH YORKSHIRE",2020,888947
"NORTH YORKSHIRE","LS25","LEEDS","NORTH YORKSHIRE",2021,284355.555555556
"NORTH YORKSHIRE","LS25","LEEDS","NORTH YORKSHIRE",2022,377175
"NORTH YORKSHIRE","LS25","LEEDS","SELBY",2019,258323.736111111
"NORTH YORKSHIRE","LS25","LEEDS","SELBY",2020,275415.123333333
"NORTH YORKSHIRE","LS25","LEEDS","SELBY",2021,277185.305389222
"NORTH YORKSHIRE","LS25","LEEDS","SELBY",2022,301290.15936255
"NORTH YORKSHIRE","LS29","ILKLEY","HARROGATE",2019,406717.8
"NORTH YORKSHIRE","LS29","ILKLEY","HARROGATE",2020,550000
"NORTH YORKSHIRE","LS29","ILKLEY","HARROGATE",2021,4310200
"NORTH YORKSHIRE","LS29","ILKLEY","HARROGATE",2022,1123329.5
"NORTH YORKSHIRE","LS29","ILKLEY","NORTH YORKSHIRE",2021,402500
"NORTH YORKSHIRE","TS13","SALTBURN-BY-THE-SEA","SCARBOROUGH",2019,213835.526315789
"NORTH YORKSHIRE","TS13","SALTBURN-BY-THE-SEA","SCARBOROUGH",2020,220095.479166667
"NORTH YORKSHIRE","TS13","SALTBURN-BY-THE-SEA","SCARBOROUGH",2021,249392.928571429
"NORTH YORKSHIRE","TS13","SALTBURN-BY-THE-SEA","SCARBOROUGH",2022,311754.931818182
"NORTH YORKSHIRE","TS15","YARM","HAMBLETON",2019,367605.888888889
"NORTH YORKSHIRE","TS15","YARM","HAMBLETON",2020,407994.212765957
"NORTH YORKSHIRE","TS15","YARM","HAMBLETON",2021,408399.514705882
"NORTH YORKSHIRE","TS15","YARM","HAMBLETON",2022,411621.486486487
"NORTH YORKSHIRE","TS15","YARM","NORTH YORKSHIRE",2022,357000
"NORTH YORKSHIRE","TS7","MIDDLESBROUGH","HAMBLETON",2019,220000
"NORTH YORKSHIRE","TS7","MIDDLESBROUGH","HAMBLETON",2022,887500
"NORTH YORKSHIRE","TS8","MIDDLESBROUGH","HAMBLETON",2019,392250
"NORTH YORKSHIRE","TS8","MIDDLESBROUGH","HAMBLETON",2020,395733.333333333
"NORTH YORKSHIRE","TS8","MIDDLESBROUGH","HAMBLETON",2021,506083.333333333
"NORTH YORKSHIRE","TS8","MIDDLESBROUGH","HAMBLETON",2022,648775
"NORTH YORKSHIRE","TS9","MIDDLESBROUGH","HAMBLETON",2019,268639.003424658
"NORTH YORKSHIRE","TS9","MIDDLESBROUGH","HAMBLETON",2020,295339.892018779
"NORTH YORKSHIRE","TS9","MIDDLESBROUGH","HAMBLETON",2021,314871.264026403
"NORTH YORKSHIRE","TS9","MIDDLESBROUGH","HAMBLETON",2022,375435.2
"NORTH YORKSHIRE","TS9","MIDDLESBROUGH","HARROGATE",2019,335000
"NORTH YORKSHIRE","TS9","MIDDLESBROUGH","NORTH YORKSHIRE",2020,589975
"NORTH YORKSHIRE","TS9","MIDDLESBROUGH","NORTH YORKSHIRE",2021,242360.909090909
"NORTH YORKSHIRE","TS9","MIDDLESBROUGH","NORTH YORKSHIRE",2022,489000
"NORTH YORKSHIRE","TS9","MIDDLESBROUGH","RICHMONDSHIRE",2020,415000
"NORTH YORKSHIRE","WF11","KNOTTINGLEY","NORTH YORKSHIRE",2020,270000
"NORTH YORKSHIRE","WF11","KNOTTINGLEY","NORTH YORKSHIRE",2021,136666.666666667
"NORTH YORKSHIRE","WF11","KNOTTINGLEY","NORTH YORKSHIRE",2022,322500
"NORTH YORKSHIRE","WF11","KNOTTINGLEY","SELBY",2019,184937.65625
"NORTH YORKSHIRE","WF11","KNOTTINGLEY","SELBY",2020,210753.488372093
"NORTH YORKSHIRE","WF11","KNOTTINGLEY","SELBY",2021,237346.507692308
"NORTH YORKSHIRE","WF11","KNOTTINGLEY","SELBY",2022,235521.150943396
"NORTH YORKSHIRE","WF8","PONTEFRACT","NORTH YORKSHIRE",2022,2e+05
"NORTH YORKSHIRE","WF8","PONTEFRACT","SELBY",2019,286100
"NORTH YORKSHIRE","WF8","PONTEFRACT","SELBY",2020,275666.666666667
"NORTH YORKSHIRE","WF8","PONTEFRACT","SELBY",2021,403704.166666667
"NORTH YORKSHIRE","WF8","PONTEFRACT","SELBY",2022,550000
"NORTH YORKSHIRE","YO1","YORK","NORTH YORKSHIRE",2021,1386000
"NORTH YORKSHIRE","YO10","YORK","SELBY",2021,2e+05
"NORTH YORKSHIRE","YO11","SCARBOROUGH","NORTH YORKSHIRE",2021,167500
"NORTH YORKSHIRE","YO11","SCARBOROUGH","NORTH YORKSHIRE",2022,274931.529411765
"NORTH YORKSHIRE","YO11","SCARBOROUGH","SCARBOROUGH",2019,174522.685925926
"NORTH YORKSHIRE","YO11","SCARBOROUGH","SCARBOROUGH",2020,186709.15780446
"NORTH YORKSHIRE","YO11","SCARBOROUGH","SCARBOROUGH",2021,193910.966799469
"NORTH YORKSHIRE","YO11","SCARBOROUGH","SCARBOROUGH",2022,219971.003448276
"NORTH YORKSHIRE","YO12","SCARBOROUGH","NORTH YORKSHIRE",2019,102125
"NORTH YORKSHIRE","YO12","SCARBOROUGH","NORTH YORKSHIRE",2021,168686.25
"NORTH YORKSHIRE","YO12","SCARBOROUGH","NORTH YORKSHIRE",2022,197316.255813953
"NORTH YORKSHIRE","YO12","SCARBOROUGH","RYEDALE",2019,231416.666666667
"NORTH YORKSHIRE","YO12","SCARBOROUGH","RYEDALE",2020,246661.153846154
"NORTH YORKSHIRE","YO12","SCARBOROUGH","RYEDALE",2021,217691.722222222
"NORTH YORKSHIRE","YO12","SCARBOROUGH","RYEDALE",2022,271810
"NORTH YORKSHIRE","YO12","SCARBOROUGH","SCARBOROUGH",2019,163280.35875
"NORTH YORKSHIRE","YO12","SCARBOROUGH","SCARBOROUGH",2020,178980.023021583
"NORTH YORKSHIRE","YO12","SCARBOROUGH","SCARBOROUGH",2021,194415.537078652
"NORTH YORKSHIRE","YO12","SCARBOROUGH","SCARBOROUGH",2022,199536.904129794
"NORTH YORKSHIRE","YO13","SCARBOROUGH","NORTH YORKSHIRE",2021,261795.333333333
"NORTH YORKSHIRE","YO13","SCARBOROUGH","NORTH YORKSHIRE",2022,226993.846153846
"NORTH YORKSHIRE","YO13","SCARBOROUGH","RYEDALE",2019,330666.666666667
"NORTH YORKSHIRE","YO13","SCARBOROUGH","RYEDALE",2020,467250
"NORTH YORKSHIRE","YO13","SCARBOROUGH","RYEDALE",2021,443438.142857143
"NORTH YORKSHIRE","YO13","SCARBOROUGH","RYEDALE",2022,321000
"NORTH YORKSHIRE","YO13","SCARBOROUGH","SCARBOROUGH",2019,269105.751351351
"NORTH YORKSHIRE","YO13","SCARBOROUGH","SCARBOROUGH",2020,262361.892655367
"NORTH YORKSHIRE","YO13","SCARBOROUGH","SCARBOROUGH",2021,306731.328125
"NORTH YORKSHIRE","YO13","SCARBOROUGH","SCARBOROUGH",2022,341325.593333333
"NORTH YORKSHIRE","YO14","FILEY","HAMBLETON",2021,319999
"NORTH YORKSHIRE","YO14","FILEY","NORTH YORKSHIRE",2019,1250000
"NORTH YORKSHIRE","YO14","FILEY","NORTH YORKSHIRE",2021,282161.1
"NORTH YORKSHIRE","YO14","FILEY","NORTH YORKSHIRE",2022,271808.764705882
"NORTH YORKSHIRE","YO14","FILEY","SCARBOROUGH",2019,172127.286153846
"NORTH YORKSHIRE","YO14","FILEY","SCARBOROUGH",2020,198775.996402878
"NORTH YORKSHIRE","YO14","FILEY","SCARBOROUGH",2021,197405.355748373
"NORTH YORKSHIRE","YO14","FILEY","SCARBOROUGH",2022,216647.067524116
"NORTH YORKSHIRE","YO17","MALTON","NORTH YORKSHIRE",2019,172500
"NORTH YORKSHIRE","YO17","MALTON","NORTH YORKSHIRE",2020,266950
"NORTH YORKSHIRE","YO17","MALTON","NORTH YORKSHIRE",2021,294450.681818182
"NORTH YORKSHIRE","YO17","MALTON","NORTH YORKSHIRE",2022,447952.875
"NORTH YORKSHIRE","YO17","MALTON","RYEDALE",2019,264098.971311475
"NORTH YORKSHIRE","YO17","MALTON","RYEDALE",2020,275017.092592593
"NORTH YORKSHIRE","YO17","MALTON","RYEDALE",2021,278500.837320574
"NORTH YORKSHIRE","YO17","MALTON","RYEDALE",2022,296888.291316527
"NORTH YORKSHIRE","YO17","MALTON","SCARBOROUGH",2019,695000
"NORTH YORKSHIRE","YO17","MALTON","SCARBOROUGH",2022,120000
"NORTH YORKSHIRE","YO17","YORK","RYEDALE",2019,155750
"NORTH YORKSHIRE","YO18","PICKERING","HAMBLETON",2021,533250
"NORTH YORKSHIRE","YO18","PICKERING","NORTH YORKSHIRE",2021,2608416.66666667
"NORTH YORKSHIRE","YO18","PICKERING","NORTH YORKSHIRE",2022,236777.777777778
"NORTH YORKSHIRE","YO18","PICKERING","RYEDALE",2019,274963.342192691
"NORTH YORKSHIRE","YO18","PICKERING","RYEDALE",2020,270056.4375
"NORTH YORKSHIRE","YO18","PICKERING","RYEDALE",2021,290685.114285714
"NORTH YORKSHIRE","YO18","PICKERING","RYEDALE",2022,301543.342975207
"NORTH YORKSHIRE","YO19","YORK","HARROGATE",2019,335000
"NORTH YORKSHIRE","YO19","YORK","NORTH YORKSHIRE",2021,725000
"NORTH YORKSHIRE","YO19","YORK","NORTH YORKSHIRE",2022,332500
"NORTH YORKSHIRE","YO19","YORK","RYEDALE",2019,560000
"NORTH YORKSHIRE","YO19","YORK","RYEDALE",2020,650000
"NORTH YORKSHIRE","YO19","YORK","RYEDALE",2021,518000
"NORTH YORKSHIRE","YO19","YORK","RYEDALE",2022,771250
"NORTH YORKSHIRE","YO19","YORK","SELBY",2019,290532.857142857
"NORTH YORKSHIRE","YO19","YORK","SELBY",2020,345602.383561644
"NORTH YORKSHIRE","YO19","YORK","SELBY",2021,395511.972477064
"NORTH YORKSHIRE","YO19","YORK","SELBY",2022,378334.545454545
"NORTH YORKSHIRE","YO2","YORK","SELBY",2022,550000
"NORTH YORKSHIRE","YO21","WHITBY","HAMBLETON",2019,340000
"NORTH YORKSHIRE","YO21","WHITBY","NORTH YORKSHIRE",2021,247121.416666667
"NORTH YORKSHIRE","YO21","WHITBY","NORTH YORKSHIRE",2022,359681.818181818
"NORTH YORKSHIRE","YO21","WHITBY","RYEDALE",2020,515000
"NORTH YORKSHIRE","YO21","WHITBY","SCARBOROUGH",2019,222046.529411765
"NORTH YORKSHIRE","YO21","WHITBY","SCARBOROUGH",2020,246046.143979058
"NORTH YORKSHIRE","YO21","WHITBY","SCARBOROUGH",2021,267705.530785563
"NORTH YORKSHIRE","YO21","WHITBY","SCARBOROUGH",2022,297896.689655172
"NORTH YORKSHIRE","YO22","WHITBY","NORTH YORKSHIRE",2021,293550
"NORTH YORKSHIRE","YO22","WHITBY","NORTH YORKSHIRE",2022,295691.666666667
"NORTH YORKSHIRE","YO22","WHITBY","SCARBOROUGH",2019,240678.306818182
"NORTH YORKSHIRE","YO22","WHITBY","SCARBOROUGH",2020,273069.215053763
"NORTH YORKSHIRE","YO22","WHITBY","SCARBOROUGH",2021,299812.608294931
"NORTH YORKSHIRE","YO22","WHITBY","SCARBOROUGH",2022,324033.507246377
"NORTH YORKSHIRE","YO23","YORK","HARROGATE",2019,675000
"NORTH YORKSHIRE","YO23","YORK","HARROGATE",2020,245000
"NORTH YORKSHIRE","YO23","YORK","HARROGATE",2022,245000
"NORTH YORKSHIRE","YO23","YORK","NORTH YORKSHIRE",2022,670000
"NORTH YORKSHIRE","YO23","YORK","SELBY",2019,528430
"NORTH YORKSHIRE","YO23","YORK","SELBY",2020,479861.764705882
"NORTH YORKSHIRE","YO23","YORK","SELBY",2021,515645.941176471
"NORTH YORKSHIRE","YO23","YORK","SELBY",2022,484277.777777778
"NORTH YORKSHIRE","YO25","DRIFFIELD","RYEDALE",2019,226994.444444444
"NORTH YORKSHIRE","YO25","DRIFFIELD","RYEDALE",2020,205493.888888889
"NORTH YORKSHIRE","YO25","DRIFFIELD","RYEDALE",2021,229190
"NORTH YORKSHIRE","YO25","DRIFFIELD","RYEDALE",2022,190500
"NORTH YORKSHIRE","YO26","YORK","HAMBLETON",2019,356000
"NORTH YORKSHIRE","YO26","YORK","HARROGATE",2019,529228.574193548
"NORTH YORKSHIRE","YO26","YORK","HARROGATE",2020,397558.74251497
"NORTH YORKSHIRE","YO26","YORK","HARROGATE",2021,508497.931578947
"NORTH YORKSHIRE","YO26","YORK","HARROGATE",2022,505262.033613445
"NORTH YORKSHIRE","YO26","YORK","NORTH YORKSHIRE",2020,230733.75
"NORTH YORKSHIRE","YO26","YORK","NORTH YORKSHIRE",2021,375000
"NORTH YORKSHIRE","YO26","YORK","NORTH YORKSHIRE",2022,429375
"NORTH YORKSHIRE","YO30","YORK","HAMBLETON",2019,269781.05
"NORTH YORKSHIRE","YO30","YORK","HAMBLETON",2020,347804.347826087
"NORTH YORKSHIRE","YO30","YORK","HAMBLETON",2021,316687.682926829
"NORTH YORKSHIRE","YO30","YORK","HAMBLETON",2022,411198.148148148
"NORTH YORKSHIRE","YO30","YORK","RYEDALE",2019,270666.666666667
"NORTH YORKSHIRE","YO30","YORK","RYEDALE",2020,285000
"NORTH YORKSHIRE","YO30","YORK","RYEDALE",2021,483849
"NORTH YORKSHIRE","YO31","YORK","RYEDALE",2019,205000
"NORTH YORKSHIRE","YO31","YORK","RYEDALE",2020,280000
"NORTH YORKSHIRE","YO32","YORK","HAMBLETON",2021,1100000
"NORTH YORKSHIRE","YO32","YORK","RYEDALE",2019,212666.666666667
"NORTH YORKSHIRE","YO32","YORK","RYEDALE",2020,363100
"NORTH YORKSHIRE","YO32","YORK","RYEDALE",2021,269583.333333333
"NORTH YORKSHIRE","YO32","YORK","RYEDALE",2022,502625
"NORTH YORKSHIRE","YO41","YORK","NORTH YORKSHIRE",2021,290650
"NORTH YORKSHIRE","YO41","YORK","NORTH YORKSHIRE",2022,244000
"NORTH YORKSHIRE","YO41","YORK","RYEDALE",2019,384600
"NORTH YORKSHIRE","YO41","YORK","RYEDALE",2020,587045.454545455
"NORTH YORKSHIRE","YO41","YORK","RYEDALE",2021,3994633.33333333
"NORTH YORKSHIRE","YO41","YORK","RYEDALE",2022,712541.666666667
"NORTH YORKSHIRE","YO41","YORK","SELBY",2021,265000
"NORTH YORKSHIRE","YO41","YORK","SELBY",2022,355000
"NORTH YORKSHIRE","YO51","YORK","HAMBLETON",2021,132242
"NORTH YORKSHIRE","YO51","YORK","HARROGATE",2019,366557.764705882
"NORTH YORKSHIRE","YO51","YORK","HARROGATE",2020,379280.657142857
"NORTH YORKSHIRE","YO51","YORK","HARROGATE",2021,381209.629090909
"NORTH YORKSHIRE","YO51","YORK","HARROGATE",2022,394727.950704225
"NORTH YORKSHIRE","YO51","YORK","NORTH YORKSHIRE",2021,385300
"NORTH YORKSHIRE","YO51","YORK","NORTH YORKSHIRE",2022,280546.833333333
"NORTH YORKSHIRE","YO6","YORK","HAMBLETON",2019,1187500
"NORTH YORKSHIRE","YO60","YORK","NORTH YORKSHIRE",2019,225000
"NORTH YORKSHIRE","YO60","YORK","NORTH YORKSHIRE",2021,688000
"NORTH YORKSHIRE","YO60","YORK","NORTH YORKSHIRE",2022,664250
"NORTH YORKSHIRE","YO60","YORK","RYEDALE",2019,391484.920634921
"NORTH YORKSHIRE","YO60","YORK","RYEDALE",2020,415647.169811321
"NORTH YORKSHIRE","YO60","YORK","RYEDALE",2021,499766.821917808
"NORTH YORKSHIRE","YO60","YORK","RYEDALE",2022,440530.029850746
"NORTH YORKSHIRE","YO61","YORK","HAMBLETON",2019,365112.753623188
"NORTH YORKSHIRE","YO61","YORK","HAMBLETON",2020,354763.944785276
"NORTH YORKSHIRE","YO61","YORK","HAMBLETON",2021,435197.579234973
"NORTH YORKSHIRE","YO61","YORK","HAMBLETON",2022,492755.769607843
"NORTH YORKSHIRE","YO61","YORK","HARROGATE",2019,603333.333333333
"NORTH YORKSHIRE","YO61","YORK","HARROGATE",2020,297666.666666667
"NORTH YORKSHIRE","YO61","YORK","HARROGATE",2021,797500
"NORTH YORKSHIRE","YO61","YORK","HARROGATE",2022,755000
"NORTH YORKSHIRE","YO61","YORK","NORTH YORKSHIRE",2019,265000
"NORTH YORKSHIRE","YO61","YORK","NORTH YORKSHIRE",2020,2536000
"NORTH YORKSHIRE","YO61","YORK","NORTH YORKSHIRE",2021,490307.692307692
"NORTH YORKSHIRE","YO61","YORK","NORTH YORKSHIRE",2022,393571.428571429
"NORTH YORKSHIRE","YO61","YORK","RYEDALE",2019,795000
"NORTH YORKSHIRE","YO61","YORK","RYEDALE",2020,470958.333333333
"NORTH YORKSHIRE","YO61","YORK","RYEDALE",2021,426585.714285714
"NORTH YORKSHIRE","YO62","YORK","HAMBLETON",2021,445000
"NORTH YORKSHIRE","YO62","YORK","NORTH YORKSHIRE",2021,355607.142857143
